aX1,aY1,aZ1,gX1,gY1,gZ1,aX2,aY2,aZ2,gX2,gY2,gZ2
1.072,-0.264,-0.661,46.387,-25.879,-44.861,0.149,-0.827,-0.613,-10.01,23.743,2.747
0.984,-0.186,-0.626,30.701,-44.922,-23.499,0.344,-0.724,-0.658,1.709,12.329,18.433
0.808,0.023,-0.601,11.353,-59.021,-3.052,0.505,-0.627,-0.676,10.132,-1.953,29.297
0.634,0.288,-0.585,-4.822,-65.552,8.728,0.629,-0.523,-0.689,14.221,-13.0,34.424
0.503,0.489,-0.569,-11.475,-61.035,9.399,0.735,-0.446,-0.708,15.076,-20.02,30.579
0.442,0.589,-0.558,-7.996,-42.786,3.418,0.772,-0.427,-0.724,15.32,-23.804,19.043
0.459,0.573,-0.584,2.991,-15.747,-2.991,0.74,-0.478,-0.741,13.245,-24.658,3.906
0.523,0.489,-0.647,15.869,9.644,-8.85,0.667,-0.525,-0.736,8.545,-21.362,-7.812
0.593,0.359,-0.712,25.513,27.222,-13.184,0.573,-0.533,-0.715,2.563,-14.16,-15.259
0.647,0.216,-0.748,28.381,33.203,-16.785,0.487,-0.544,-0.687,-0.671,-5.554,-18.921
0.691,0.098,-0.787,25.94,31.86,-17.883,0.407,-0.564,-0.673,-0.122,-0.305,-20.508
0.707,0.038,-0.821,21.301,26.733,-15.381,0.324,-0.58,-0.672,2.625,3.54,-17.7
0.711,0.028,-0.831,17.151,19.531,-11.047,0.29,-0.585,-0.68,4.639,7.568,-10.01
0.708,0.04,-0.832,14.343,12.756,-6.958,0.302,-0.58,-0.671,5.981,10.071,-0.61
0.685,0.075,-0.828,12.878,7.019,-3.113,0.346,-0.563,-0.661,8.667,9.949,6.836
0.645,0.115,-0.814,11.475,3.479,1.465,0.413,-0.555,-0.664,12.695,7.751,11.169
0.589,0.211,-0.821,10.01,0.793,6.104,0.505,-0.561,-0.672,15.747,4.517,13.184
0.551,0.259,-0.812,11.353,-0.854,8.545,0.56,-0.554,-0.674,17.273,0.183,11.902
0.5,0.325,-0.787,7.69,-4.517,8.179,0.564,-0.556,-0.665,17.883,-2.93,6.958
0.475,0.366,-0.774,5.127,-5.066,6.042,0.544,-0.584,-0.668,18.188,-2.319,2.563
