aX1,aY1,aZ1,gX1,gY1,gZ1,aX2,aY2,aZ2,gX2,gY2,gZ2
0.016,-0.145,0.991,11.963,2.502,1.404,0.059,0.052,1.019,6.47,6.592,-1.221
0.006,-0.15,1.001,15.259,0.183,0.854,0.055,0.055,1.007,7.263,5.92,0.61
-0.005,-0.163,1.022,16.541,-1.526,-0.305,0.068,0.058,0.996,9.277,5.92,2.686
-0.001,-0.166,1.031,13.794,-1.831,-2.258,0.082,0.052,0.981,11.597,7.08,4.211
0.007,-0.155,1.031,8.545,-0.671,-3.418,0.105,0.046,0.959,13.733,8.484,5.249
0.014,-0.136,1.021,3.174,0.488,-4.395,0.129,0.028,0.945,14.404,8.362,4.822
0.031,-0.126,1.012,-0.244,1.038,-5.31,0.139,0.024,0.946,13.062,6.47,3.601
0.046,-0.117,1.001,-2.502,0.854,-5.432,0.135,0.021,0.963,10.62,3.723,1.343
0.04,-0.104,0.984,-4.578,-0.183,-5.188,0.125,0.031,0.975,8.667,2.014,-1.282
0.04,-0.095,0.961,-5.31,-1.404,-5.493,0.11,0.05,0.981,7.507,1.648,-3.052
0.048,-0.082,0.937,-4.761,-2.014,-5.127,0.088,0.062,0.988,6.165,1.404,-4.944
0.053,-0.073,0.924,-2.197,-2.502,-4.395,0.068,0.07,0.99,5.615,1.16,-5.554
0.061,-0.067,0.916,0.977,-3.479,-3.723,0.058,0.075,0.996,5.371,1.16,-5.371
0.071,-0.069,0.916,4.517,-4.15,-2.686,0.054,0.081,0.996,5.859,1.465,-4.211
0.069,-0.081,0.933,7.263,-3.906,-1.099,0.06,0.073,0.99,7.507,1.892,-3.357
0.06,-0.09,0.938,6.531,-2.441,0.366,0.06,0.057,0.976,8.606,2.991,-2.747
0.061,-0.096,0.948,4.333,-0.549,1.465,0.069,0.043,0.956,8.85,4.089,-2.502
0.072,-0.097,0.944,2.014,1.404,2.686,0.075,0.029,0.942,7.751,4.639,-2.808
0.067,-0.1,0.946,0.0,3.296,4.15,0.077,0.025,0.934,5.005,4.822,-3.235
0.053,-0.102,0.953,-0.854,4.272,5.493,0.078,0.02,0.93,1.099,5.005,-3.357
0.044,-0.108,0.96,-1.16,4.883,5.798,0.084,0.014,0.933,-3.113,3.967,-3.418
0.045,-0.11,0.966,-1.221,5.798,5.127,0.093,0.021,0.947,-6.897,2.625,-3.54
0.048,-0.113,0.972,-0.793,5.981,4.639,0.106,0.026,0.971,-9.949,1.221,-3.784
0.041,-0.117,0.978,-0.183,5.31,4.333,0.103,0.036,0.987,-11.23,0.244,-4.639
0.04,-0.119,0.979,0.122,4.761,3.784,0.099,0.038,1.0,-10.437,0.244,-5.554
0.039,-0.123,0.976,0.671,3.906,3.357,0.098,0.049,1.005,-8.545,0.61,-5.554
0.035,-0.126,0.966,1.343,3.113,3.174,0.098,0.064,1.013,-6.287,0.61,-5.127
0.028,-0.127,0.961,1.892,2.869,2.991,0.09,0.071,1.013,-4.15,0.793,-4.822
0.025,-0.131,0.963,3.235,2.747,2.38,0.078,0.067,1.014,-2.258,0.916,-4.578
0.034,-0.133,0.968,4.456,2.441,1.648,0.068,0.064,1.013,-0.916,0.916,-3.54
0.037,-0.131,0.973,4.639,1.648,0.916,0.065,0.066,1.005,0.244,1.221,-2.197
0.035,-0.13,0.977,3.967,0.977,0.61,0.066,0.056,0.994,1.953,1.953,-0.793
0.043,-0.128,0.977,2.563,0.61,0.244,0.071,0.05,0.977,2.93,2.38,0.916
0.05,-0.124,0.974,0.977,0.854,0.0,0.069,0.052,0.967,2.747,1.831,2.563
0.053,-0.119,0.968,-0.183,1.099,-0.244,0.067,0.044,0.956,2.075,1.587,3.601
0.06,-0.111,0.97,-0.732,0.793,-0.183,0.071,0.038,0.948,1.038,1.77,4.456
0.068,-0.108,0.973,-1.099,0.366,0.0,0.081,0.032,0.946,-0.549,1.709,5.188
0.073,-0.101,0.971,-1.709,-0.061,0.488,0.089,0.031,0.953,-2.014,1.648,5.859
0.075,-0.097,0.967,-2.441,-0.488,1.465,0.1,0.026,0.958,-2.991,1.526,5.554
0.071,-0.09,0.96,-3.113,-0.916,2.502,0.101,0.022,0.967,-3.601,1.16,4.333
0.065,-0.089,0.954,-2.869,-1.343,3.601,0.102,0.022,0.979,-3.784,0.0,3.479
0.057,-0.09,0.94,-2.258,-1.221,4.517,0.101,0.028,0.992,-3.723,-0.305,2.502
0.046,-0.094,0.934,-1.038,-0.671,4.944,0.104,0.032,0.997,-2.197,0.183,1.343
0.691,-1.26,1.019,-2.625,0.854,118.591,0.229,1.757,1.25,9.155,3.723,-124.756
0.482,-1.667,1.004,-3.296,-5.676,123.657,0.07,2.124,1.448,0.732,-1.465,-107.971
0.304,-2.06,1.003,-8.362,-8.972,121.094,0.025,2.367,1.619,0.732,-3.906,-81.055
0.142,-2.377,1.045,-13.611,-7.446,112.061,0.024,2.582,1.742,10.681,-5.676,-48.645
0.009,-2.624,1.078,-18.494,-2.136,94.727,-0.008,2.703,1.742,33.447,-6.348,-23.193
-0.073,-2.736,1.076,-26.184,3.54,70.984,0.051,3.997,1.403,65.552,-4.272,-13.489
