aX,aY,aZ,gX,gY,gZ
-1.327,2.384,1.648,-136.292,-26.245,144.653
0.739,1.958,0.791,52.307,72.815,179.504
1.259,3.253,1.269,171.753,106.628,162.292
1.304,2.484,0.471,204.102,125.000,87.524
0.658,1.452,0.715,145.508,41.382,-6.836
0.208,1.499,0.799,109.619,-13.794,-23.437
0.217,1.516,0.841,92.163,-8.301,-16.052
0.281,1.374,0.664,90.942,10.254,-23.743
0.271,1.164,0.648,85.815,9.094,-45.349
0.125,0.976,0.808,60.425,-1.038,-65.796
0.035,0.830,0.984,28.748,-3.479,-65.491
0.019,0.689,1.058,7.629,-2.319,-47.363
0.007,0.532,1.147,-4.700,-6.531,-15.625
-0.013,0.339,1.219,-10.620,-12.695,24.292
0.074,0.156,1.225,-8.789,-11.108,64.941
0.124,-0.069,1.184,-0.305,-3.723,97.107
0.210,-0.357,1.144,8.179,3.296,121.643
0.266,-0.603,1.094,10.925,5.981,140.930
0.320,-0.825,1.087,5.676,4.395,151.611
0.378,-1.027,1.081,-6.592,2.625,155.701
0.426,-1.135,1.080,-24.658,-0.793,155.029
0.455,-1.184,1.113,-43.457,-6.897,148.987
0.434,-1.228,1.140,-55.725,-13.184,137.878
0.393,-1.311,1.111,-58.960,-18.127,125.610
0.357,-1.360,1.070,-53.101,-23.376,113.342
0.306,-1.407,0.984,-39.001,-26.367,96.008
0.248,-1.450,0.874,-21.301,-25.757,74.646
0.184,-1.449,0.764,-7.996,-21.545,55.054
0.130,-1.399,0.667,-4.150,-17.395,37.537
0.071,-1.312,0.630,-8.240,-17.578,24.170
0.016,-1.196,0.627,-17.334,-19.897,15.503
-0.013,-1.077,0.648,-27.222,-20.630,10.254
-0.014,-0.921,0.714,-35.950,-19.592,6.653
0.000,-0.755,0.791,-39.917,-17.639,3.296
0.018,-0.607,0.865,-36.255,-15.747,-1.099
0.026,-0.477,0.916,-27.283,-11.597,-5.859
0.023,-0.355,0.927,-16.479,-5.249,-10.498
0.001,-0.262,0.922,-6.409,0.854,-13.611
-0.018,-0.201,0.911,1.892,6.226,-14.526
-0.025,-0.141,0.867,7.751,12.451,-11.658
-0.034,-0.083,0.816,9.827,18.066,-5.615
-0.007,-0.038,0.780,7.080,19.409,1.892
0.042,0.035,0.738,-0.793,11.902,8.728
0.020,0.123,0.801,-7.812,-2.991,12.878
-0.028,0.152,0.921,-10.742,-15.259,14.221
-0.015,0.151,0.975,-9.705,-19.226,15.991
0.018,0.143,1.008,-5.920,-18.921,17.517
0.040,0.118,1.046,-0.854,-18.860,16.663
0.041,0.091,1.080,5.249,-17.517,13.611
0.064,0.068,1.079,11.475,-13.306,10.315
0.066,0.034,1.078,16.602,-9.766,6.165
0.053,0.016,1.085,20.081,-8.057,3.113
0.037,0.002,1.049,23.010,-3.540,0.977
0.041,-0.024,0.995,23.621,1.099,-1.343
0.042,-0.032,0.963,19.653,2.747,-2.380
0.037,-0.026,0.946,12.878,2.319,-3.357
0.037,-0.025,0.928,6.653,1.282,-5.005
0.042,-0.021,0.922,0.854,0.671,-6.653
0.035,0.000,0.929,-4.822,-0.244,-8.179
0.023,0.016,0.936,-9.705,-1.526,-9.216
0.009,0.029,0.959,-13.062,-2.625,-9.094
0.007,0.046,0.991,-14.587,-3.235,-7.935
0.010,0.066,1.016,-13.916,-2.686,-6.470
0.005,0.077,1.026,-10.254,-0.854,-5.066
0.004,0.075,1.022,-5.371,1.526,-3.052
0.008,0.065,1.005,-0.610,3.601,-1.343
0.020,0.051,0.984,2.869,5.005,0.488
0.025,0.039,0.971,3.906,5.554,1.648
0.030,0.031,0.969,3.113,4.944,2.625
0.036,0.027,0.978,2.075,4.150,3.235
0.046,0.021,0.981,1.648,3.540,3.784
0.060,0.012,0.981,1.648,2.991,3.540
0.062,0.001,0.977,2.197,2.808,2.808
0.054,-0.011,0.968,2.747,2.502,1.587
0.050,-0.012,0.958,2.991,2.136,0.793
0.042,-0.012,0.951,3.357,1.526,0.427
0.025,-0.020,0.946,3.235,1.282,0.488
0.018,-0.020,0.943,2.686,1.465,0.916
0.021,-0.019,0.949,1.709,1.709,1.953
0.022,-0.021,0.957,0.549,1.709,2.869
0.023,-0.028,0.971,-0.732,1.648,3.235
0.028,-0.018,0.985,-1.953,1.221,3.662
0.033,-0.015,0.997,-2.319,0.916,3.601
0.032,-0.015,1.000,-2.319,-0.061,3.052
0.029,-0.014,1.001,-2.014,-0.793,2.686
0.023,-0.013,0.999,-1.831,-1.221,2.380
0.018,-0.011,0.995,-1.953,-1.221,1.831
0.017,-0.013,0.994,-2.380,-1.282,0.977
0.008,-0.000,0.999,-2.686,-1.465,0.854
0.004,0.003,1.001,-2.808,-0.916,0.977
0.000,0.005,0.999,-2.686,-0.549,1.343
0.003,0.015,0.996,-2.808,-0.183,2.136
0.006,0.023,0.992,-2.808,-0.366,2.869
0.002,0.021,0.986,-2.258,-0.305,2.930
0.001,0.020,0.981,-1.831,0.000,3.601
0.005,0.021,0.980,-1.953,0.000,4.456
0.011,0.018,0.982,-1.587,-0.122,5.554
0.013,0.012,0.983,-1.404,-0.305,5.859
0.019,0.004,0.980,-1.343,-0.305,5.981
0.018,0.000,0.978,-0.977,-0.427,6.226
0.024,-0.005,0.974,-0.427,-0.122,6.592
0.029,-0.012,0.969,-0.427,0.061,6.653
0.258,1.476,1.149,-5.981,-6.714,-132.568
0.130,1.748,1.210,-2.747,-8.240,-128.601
0.034,1.984,1.249,9.949,-9.705,-118.774
-0.037,2.140,1.233,30.945,-7.263,-105.652
0.215,4.000,-1.082,34.851,-6.470,-96.802
