aX,aY,aZ,gX,gY,gZ
0.538,-0.531,-0.743,4.333,12.024,-0.916
0.539,-0.519,-0.761,3.296,11.658,0.244
0.551,-0.499,-0.777,2.686,9.766,1.770
0.577,-0.470,-0.787,2.502,7.141,3.235
0.601,-0.443,-0.780,1.953,4.028,4.089
0.619,-0.430,-0.768,2.319,0.427,4.211
0.638,-0.437,-0.751,3.235,-2.808,3.418
0.643,-0.463,-0.734,4.150,-5.798,1.892
0.642,-0.483,-0.717,4.211,-7.385,0.488
0.631,-0.501,-0.705,4.150,-7.202,-0.732
0.617,-0.511,-0.705,4.456,-5.981,-1.038
0.611,-0.512,-0.716,4.944,-3.967,0.427
0.613,-0.500,-0.736,4.395,-1.099,1.099
0.618,-0.484,-0.751,2.991,2.014,1.038
0.616,-0.463,-0.753,1.160,3.967,0.488
0.609,-0.445,-0.746,-0.610,3.906,-0.366
0.598,-0.440,-0.731,-1.770,2.625,-1.404
0.582,-0.450,-0.716,-1.709,0.427,-2.075
0.568,-0.463,-0.699,-1.892,-1.648,-2.502
0.566,-0.483,-0.680,-1.831,-2.258,-2.258
0.568,-0.492,-0.668,-1.282,-2.625,-1.221
0.576,-0.486,-0.660,-0.671,-2.502,0.183
0.589,-0.467,-0.656,-0.427,-1.282,1.282
0.597,-0.450,-0.655,0.061,0.366,1.831
0.597,-0.437,-0.656,-0.244,2.441,1.282
0.584,-0.435,-0.666,-0.732,5.127,0.488
0.574,-0.445,-0.682,-1.648,8.301,0.122
0.567,-0.449,-0.696,-2.869,11.292,0.183
0.568,-0.446,-0.701,-4.761,12.817,0.244
0.577,-0.457,-0.708,-4.883,12.024,0.793
0.583,-0.471,-0.711,-3.845,9.216,1.465
0.593,-0.475,-0.708,-2.747,5.249,2.319
0.606,-0.471,-0.700,-1.221,1.770,3.601
0.612,-0.467,-0.693,0.244,-0.854,4.517
0.616,-0.453,-0.681,0.549,-1.892,4.333
0.621,-0.435,-0.668,0.732,-1.343,3.601
0.618,-0.428,-0.660,0.977,0.122,1.953
0.606,-0.436,-0.660,1.465,1.343,-0.244
0.586,-0.455,-0.669,1.465,2.441,-1.709
0.577,-0.480,-0.674,0.977,3.784,-1.953
0.574,-0.497,-0.673,0.061,4.639,-2.136
0.575,-0.517,-0.678,0.671,4.822,-1.831
0.579,-0.529,-0.689,1.587,4.211,-1.160
0.581,-0.527,-0.697,2.075,3.357,-0.244
0.590,-0.514,-0.701,2.686,2.197,0.732
0.596,-0.503,-0.707,3.540,0.793,1.770
0.598,-0.491,-0.711,3.784,-0.793,2.014
0.592,-0.481,-0.712,3.967,-1.953,2.380
0.585,-0.473,-0.711,3.235,-1.953,1.831
0.583,-0.470,-0.708,2.747,-1.404,0.916
0.575,-0.482,-0.712,2.502,-1.038,-0.244
0.574,-0.500,-0.710,2.197,-1.038,-1.099
0.568,-0.513,-0.703,1.099,-1.160,-1.404
1.485,0.497,1.002,118.835,118.469,56.274
1.740,0.760,0.825,142.212,117.737,46.448
1.943,0.937,0.622,162.659,112.732,25.818
2.060,1.028,0.443,177.856,102.661,-1.831
2.086,1.047,0.315,185.181,90.393,-33.508
1.943,1.092,0.143,187.378,78.613,-66.528
1.780,1.120,-0.024,191.956,72.449,-96.252
1.671,1.053,-0.072,199.402,83.740,-113.586
1.521,1.098,-0.267,208.679,100.769,-125.427
1.336,1.117,-0.654,223.877,109.924,-138.000
1.227,1.005,-0.979,237.488,114.014,-146.606
1.090,0.908,-1.224,235.107,112.488,-152.649
0.856,0.871,-1.534,224.304,101.318,-160.645
0.637,0.711,-1.849,220.703,92.834,-169.434
0.451,0.488,-2.091,214.905,86.548,-175.293
0.302,0.319,-2.264,195.679,72.998,-176.880
0.205,0.183,-2.299,167.480,50.415,-174.011
0.142,0.097,-2.192,140.930,20.264,-168.579
0.091,0.038,-2.012,124.329,-15.503,-160.522
0.065,0.018,-1.787,114.014,-48.645,-150.330
0.035,0.017,-1.634,111.145,-74.524,-140.137
-0.010,-0.040,-1.580,114.014,-92.163,-130.432
-0.031,-0.096,-1.605,112.793,-90.881,-119.141
-0.024,-0.140,-1.635,102.478,-75.684,-109.497
-0.003,-0.164,-1.624,85.449,-58.777,-102.234
0.004,-0.153,-1.545,67.139,-46.875,-97.107
-0.028,-0.156,-1.448,54.626,-43.823,-93.140
-0.132,-0.251,-1.364,50.537,-48.279,-92.957
-0.269,-0.466,-1.302,51.147,-52.795,-94.910
-0.434,-0.665,-1.264,46.936,-50.415,-95.215
-0.523,-0.882,-1.235,39.001,-38.696,-91.919
-0.485,-1.061,-1.186,29.785,-21.667,-80.322
-0.319,-1.114,-1.096,15.686,-4.517,-57.983
-0.021,-0.943,-0.932,2.380,5.493,-27.222
0.302,-0.720,-0.809,-1.099,4.517,0.793
0.569,-0.565,-0.731,5.310,-8.179,17.944
0.757,-0.473,-0.658,14.404,-28.137,22.461
0.829,-0.421,-0.590,20.264,-46.631,16.357
0.833,-0.397,-0.524,22.217,-55.298,5.920
0.780,-0.409,-0.477,19.409,-51.575,-3.906
